               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,           0.0027046,           0.0022425,           0.0080215,             0.77792,             0.85396,             0.86733,             0.86716,           0.0011326,           0.0028901,           0.0042141,            0.001387,            0.001387,            0.001387
                  89,           0.0023173,           0.0022265,           0.0077669,             0.79348,             0.82556,              0.8684,             0.86827,           0.0011234,           0.0033428,           0.0042972,            0.001288,            0.001288,            0.001288
                  90,           0.0021973,            0.002161,           0.0074641,             0.80171,             0.82939,             0.86687,             0.86685,           0.0011455,           0.0030828,           0.0043579,            0.001189,            0.001189,            0.001189
                  91,            0.002195,           0.0021622,           0.0077212,             0.80928,             0.79658,             0.86215,             0.86215,           0.0011175,           0.0032426,           0.0042504,             0.00109,             0.00109,             0.00109
                  92,           0.0022111,           0.0021121,           0.0076385,             0.75917,             0.85702,             0.86118,             0.86102,           0.0010926,           0.0029986,           0.0046902,            0.000991,            0.000991,            0.000991
                  93,           0.0020286,           0.0020146,           0.0081165,             0.80567,             0.80416,               0.866,             0.86579,           0.0010639,            0.003639,           0.0043147,            0.000892,            0.000892,            0.000892
                  94,           0.0021739,           0.0020646,           0.0071498,             0.75752,             0.84855,             0.86342,             0.86329,          0.00099494,           0.0033321,           0.0043902,            0.000793,            0.000793,            0.000793
                  95,           0.0021807,           0.0021285,           0.0078189,             0.79806,              0.8192,             0.85836,             0.85805,           0.0010233,             0.00345,           0.0045456,            0.000694,            0.000694,            0.000694
                  96,           0.0017565,           0.0019914,           0.0077518,             0.78043,             0.82759,             0.85926,             0.85902,           0.0010683,           0.0033135,           0.0044837,            0.000595,            0.000595,            0.000595
                  97,           0.0017727,           0.0019694,           0.0076696,             0.75794,             0.84227,             0.86327,             0.86303,           0.0010403,           0.0031622,           0.0044721,            0.000496,            0.000496,            0.000496
                  98,           0.0016762,           0.0019288,              0.0077,              0.7582,             0.84557,             0.85867,             0.85843,           0.0010438,           0.0031747,           0.0045276,            0.000397,            0.000397,            0.000397
                  99,           0.0018959,           0.0019946,            0.007546,             0.80208,             0.80716,             0.85726,             0.85708,           0.0010427,           0.0030249,           0.0045478,            0.000298,            0.000298,            0.000298
