               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,           0.0054226,            0.003396,           0.0078537,              0.7258,             0.85822,             0.83355,             0.83314,            0.001269,           0.0024984,           0.0048395,            0.003664,            0.003664,            0.003664
                  66,           0.0048462,            0.003419,           0.0077247,             0.77452,             0.84182,             0.86022,             0.86011,           0.0015278,           0.0032025,           0.0046901,            0.003565,            0.003565,            0.003565
                  67,             0.00521,            0.003309,           0.0080088,             0.78309,             0.79504,             0.84403,             0.84334,           0.0012289,           0.0025713,           0.0049266,            0.003466,            0.003466,            0.003466
                  68,           0.0048032,           0.0032837,           0.0073017,             0.74474,             0.86076,             0.85876,             0.85778,           0.0012911,           0.0029167,           0.0047342,            0.003367,            0.003367,            0.003367
                  69,           0.0058045,           0.0033013,           0.0079098,             0.77035,             0.82007,             0.85464,             0.85443,           0.0011841,           0.0030294,           0.0046196,            0.003268,            0.003268,            0.003268
                  70,           0.0046817,           0.0032517,           0.0077361,              0.7598,             0.80919,              0.8512,             0.85087,           0.0011325,           0.0033305,           0.0050489,            0.003169,            0.003169,            0.003169
                  71,           0.0047825,           0.0031984,           0.0071587,             0.76253,             0.85679,             0.84842,             0.84797,           0.0010265,           0.0036442,           0.0045664,             0.00307,             0.00307,             0.00307
                  72,           0.0051044,           0.0032055,           0.0076589,             0.72867,             0.86067,             0.84987,             0.84977,           0.0010832,           0.0044874,           0.0048324,            0.002971,            0.002971,            0.002971
                  73,           0.0046209,           0.0030719,           0.0070311,             0.75705,             0.83805,             0.84965,             0.84953,           0.0011069,            0.002709,            0.004848,            0.002872,            0.002872,            0.002872
                  74,           0.0041293,           0.0030368,           0.0071747,             0.75085,             0.83148,              0.8372,             0.83707,           0.0012135,           0.0033038,           0.0053756,            0.002773,            0.002773,            0.002773
                  75,           0.0048018,           0.0030391,           0.0076627,             0.74181,             0.84346,             0.85077,             0.85053,           0.0011466,           0.0032723,           0.0050237,            0.002674,            0.002674,            0.002674
                  76,           0.0043476,           0.0030255,            0.006896,             0.76161,             0.84669,             0.84871,             0.84847,           0.0012383,           0.0036816,           0.0048043,            0.002575,            0.002575,            0.002575
                  77,            0.004018,           0.0029007,           0.0067226,             0.81443,             0.77031,             0.84235,             0.84141,            0.001057,           0.0035967,            0.004828,            0.002476,            0.002476,            0.002476
                  78,           0.0040171,           0.0029744,           0.0070631,             0.76005,             0.83399,             0.85221,              0.8521,           0.0010763,           0.0041026,           0.0047746,            0.002377,            0.002377,            0.002377
                  79,           0.0042188,           0.0029035,           0.0068702,             0.75489,             0.85007,             0.85102,             0.85064,          0.00098055,            0.003339,           0.0048351,            0.002278,            0.002278,            0.002278
                  80,           0.0043758,           0.0029564,             0.00761,             0.72038,             0.86652,             0.83871,              0.8386,           0.0010685,           0.0039081,           0.0049808,            0.002179,            0.002179,            0.002179
                  81,           0.0042749,           0.0028552,           0.0069702,             0.79702,             0.79993,             0.84492,             0.84456,           0.0010577,           0.0045039,           0.0048294,             0.00208,             0.00208,             0.00208
                  82,           0.0037727,            0.002849,           0.0069295,             0.75349,             0.83762,             0.84473,              0.8446,           0.0010201,           0.0037869,           0.0049628,            0.001981,            0.001981,            0.001981
                  83,           0.0038401,           0.0028349,           0.0069441,             0.72926,             0.86525,             0.84772,             0.84748,          0.00098731,           0.0037564,           0.0048936,            0.001882,            0.001882,            0.001882
                  84,            0.003829,           0.0027897,            0.005958,             0.77937,             0.81455,             0.84968,             0.84935,           0.0010325,           0.0030877,           0.0051158,            0.001783,            0.001783,            0.001783
                  85,           0.0037762,           0.0027155,           0.0061194,              0.7554,             0.84768,             0.85088,             0.85077,           0.0010312,           0.0052235,           0.0048741,            0.001684,            0.001684,            0.001684
                  86,           0.0036826,           0.0027823,           0.0062224,             0.75978,             0.82005,             0.84812,             0.84799,          0.00098386,           0.0033163,           0.0053583,            0.001585,            0.001585,            0.001585
                  87,           0.0037055,           0.0026608,           0.0060946,             0.75723,             0.86023,             0.84454,             0.84442,          0.00094983,           0.0043072,           0.0049466,            0.001486,            0.001486,            0.001486
